adv_debias__densenet121__seed42__pr0.75__lam0.01	results/phase7/retrain/adv_debias__densenet121__seed42__pr0.75__lam0.01	python3 scripts/phase7_fairness_retrain.py --defense adv_debias --arch densenet121 --seed 42 --rate 0.75 --adv-lambda 0.01 --run-name adv_debias__densenet121__seed42__pr0.75__lam0.01
adv_debias__densenet121__seed42__pr0.75__lam0.1	results/phase7/retrain/adv_debias__densenet121__seed42__pr0.75__lam0.1	python3 scripts/phase7_fairness_retrain.py --defense adv_debias --arch densenet121 --seed 42 --rate 0.75 --adv-lambda 0.1 --run-name adv_debias__densenet121__seed42__pr0.75__lam0.1
adv_debias__densenet121__seed42__pr0.75__lam0.3	results/phase7/retrain/adv_debias__densenet121__seed42__pr0.75__lam0.3	python3 scripts/phase7_fairness_retrain.py --defense adv_debias --arch densenet121 --seed 42 --rate 0.75 --adv-lambda 0.3 --run-name adv_debias__densenet121__seed42__pr0.75__lam0.3
adv_debias__densenet121__seed42__pr0.75__lam1.0	results/phase7/retrain/adv_debias__densenet121__seed42__pr0.75__lam1.0	python3 scripts/phase7_fairness_retrain.py --defense adv_debias --arch densenet121 --seed 42 --rate 0.75 --adv-lambda 1.0 --run-name adv_debias__densenet121__seed42__pr0.75__lam1.0
adv_debias__densenet121__seed42__pr0.75__lam3.0	results/phase7/retrain/adv_debias__densenet121__seed42__pr0.75__lam3.0	python3 scripts/phase7_fairness_retrain.py --defense adv_debias --arch densenet121 --seed 42 --rate 0.75 --adv-lambda 3.0 --run-name adv_debias__densenet121__seed42__pr0.75__lam3.0
adv_debias__densenet121__seed42__pr0.75__lam10.0	results/phase7/retrain/adv_debias__densenet121__seed42__pr0.75__lam10.0	python3 scripts/phase7_fairness_retrain.py --defense adv_debias --arch densenet121 --seed 42 --rate 0.75 --adv-lambda 10.0 --run-name adv_debias__densenet121__seed42__pr0.75__lam10.0
adv_debias__densenet121__seed123__pr0.75__lam0.01	results/phase7/retrain/adv_debias__densenet121__seed123__pr0.75__lam0.01	python3 scripts/phase7_fairness_retrain.py --defense adv_debias --arch densenet121 --seed 123 --rate 0.75 --adv-lambda 0.01 --run-name adv_debias__densenet121__seed123__pr0.75__lam0.01
adv_debias__densenet121__seed123__pr0.75__lam0.1	results/phase7/retrain/adv_debias__densenet121__seed123__pr0.75__lam0.1	python3 scripts/phase7_fairness_retrain.py --defense adv_debias --arch densenet121 --seed 123 --rate 0.75 --adv-lambda 0.1 --run-name adv_debias__densenet121__seed123__pr0.75__lam0.1
adv_debias__densenet121__seed123__pr0.75__lam0.3	results/phase7/retrain/adv_debias__densenet121__seed123__pr0.75__lam0.3	python3 scripts/phase7_fairness_retrain.py --defense adv_debias --arch densenet121 --seed 123 --rate 0.75 --adv-lambda 0.3 --run-name adv_debias__densenet121__seed123__pr0.75__lam0.3
adv_debias__densenet121__seed123__pr0.75__lam1.0	results/phase7/retrain/adv_debias__densenet121__seed123__pr0.75__lam1.0	python3 scripts/phase7_fairness_retrain.py --defense adv_debias --arch densenet121 --seed 123 --rate 0.75 --adv-lambda 1.0 --run-name adv_debias__densenet121__seed123__pr0.75__lam1.0
adv_debias__densenet121__seed123__pr0.75__lam3.0	results/phase7/retrain/adv_debias__densenet121__seed123__pr0.75__lam3.0	python3 scripts/phase7_fairness_retrain.py --defense adv_debias --arch densenet121 --seed 123 --rate 0.75 --adv-lambda 3.0 --run-name adv_debias__densenet121__seed123__pr0.75__lam3.0
adv_debias__densenet121__seed123__pr0.75__lam10.0	results/phase7/retrain/adv_debias__densenet121__seed123__pr0.75__lam10.0	python3 scripts/phase7_fairness_retrain.py --defense adv_debias --arch densenet121 --seed 123 --rate 0.75 --adv-lambda 10.0 --run-name adv_debias__densenet121__seed123__pr0.75__lam10.0
adv_debias__densenet121__seed7__pr0.75__lam0.01	results/phase7/retrain/adv_debias__densenet121__seed7__pr0.75__lam0.01	python3 scripts/phase7_fairness_retrain.py --defense adv_debias --arch densenet121 --seed 7 --rate 0.75 --adv-lambda 0.01 --run-name adv_debias__densenet121__seed7__pr0.75__lam0.01
