rev10__mimic_unmatched_WHITE__densenet121__seed42__pr0.65	results/revision/EXP-10/runs/rev10__mimic_unmatched_WHITE__densenet121__seed42__pr0.65	python3 src/train.py --config configs/cxr_mimic_attack_unmatched.yaml seed=42 attack.enabled=true attack.target_demographic=WHITE attack.poison_rate=0.65 output.phase=revision/EXP-10/runs output.run_name=rev10__mimic_unmatched_WHITE__densenet121__seed42__pr0.65
rev10__mimic_unmatched_WHITE__densenet121__seed123__pr0.65	results/revision/EXP-10/runs/rev10__mimic_unmatched_WHITE__densenet121__seed123__pr0.65	python3 src/train.py --config configs/cxr_mimic_attack_unmatched.yaml seed=123 attack.enabled=true attack.target_demographic=WHITE attack.poison_rate=0.65 output.phase=revision/EXP-10/runs output.run_name=rev10__mimic_unmatched_WHITE__densenet121__seed123__pr0.65
rev10__mimic_unmatched_WHITE__densenet121__seed7__pr0.65	results/revision/EXP-10/runs/rev10__mimic_unmatched_WHITE__densenet121__seed7__pr0.65	python3 src/train.py --config configs/cxr_mimic_attack_unmatched.yaml seed=7 attack.enabled=true attack.target_demographic=WHITE attack.poison_rate=0.65 output.phase=revision/EXP-10/runs output.run_name=rev10__mimic_unmatched_WHITE__densenet121__seed7__pr0.65
rev10__mimic_unmatched_WHITE__densenet121__seed42__pr0.75	results/revision/EXP-10/runs/rev10__mimic_unmatched_WHITE__densenet121__seed42__pr0.75	python3 src/train.py --config configs/cxr_mimic_attack_unmatched.yaml seed=42 attack.enabled=true attack.target_demographic=WHITE attack.poison_rate=0.75 output.phase=revision/EXP-10/runs output.run_name=rev10__mimic_unmatched_WHITE__densenet121__seed42__pr0.75
rev10__mimic_unmatched_WHITE__densenet121__seed123__pr0.75	results/revision/EXP-10/runs/rev10__mimic_unmatched_WHITE__densenet121__seed123__pr0.75	python3 src/train.py --config configs/cxr_mimic_attack_unmatched.yaml seed=123 attack.enabled=true attack.target_demographic=WHITE attack.poison_rate=0.75 output.phase=revision/EXP-10/runs output.run_name=rev10__mimic_unmatched_WHITE__densenet121__seed123__pr0.75
rev10__mimic_unmatched_WHITE__densenet121__seed7__pr0.75	results/revision/EXP-10/runs/rev10__mimic_unmatched_WHITE__densenet121__seed7__pr0.75	python3 src/train.py --config configs/cxr_mimic_attack_unmatched.yaml seed=7 attack.enabled=true attack.target_demographic=WHITE attack.poison_rate=0.75 output.phase=revision/EXP-10/runs output.run_name=rev10__mimic_unmatched_WHITE__densenet121__seed7__pr0.75
rev10__mimic_unmatched_WHITE__densenet121__seed42__pr1.0	results/revision/EXP-10/runs/rev10__mimic_unmatched_WHITE__densenet121__seed42__pr1.0	python3 src/train.py --config configs/cxr_mimic_attack_unmatched.yaml seed=42 attack.enabled=true attack.target_demographic=WHITE attack.poison_rate=1.0 output.phase=revision/EXP-10/runs output.run_name=rev10__mimic_unmatched_WHITE__densenet121__seed42__pr1.0
rev10__mimic_unmatched_WHITE__densenet121__seed123__pr1.0	results/revision/EXP-10/runs/rev10__mimic_unmatched_WHITE__densenet121__seed123__pr1.0	python3 src/train.py --config configs/cxr_mimic_attack_unmatched.yaml seed=123 attack.enabled=true attack.target_demographic=WHITE attack.poison_rate=1.0 output.phase=revision/EXP-10/runs output.run_name=rev10__mimic_unmatched_WHITE__densenet121__seed123__pr1.0
rev10__mimic_unmatched_WHITE__densenet121__seed7__pr1.0	results/revision/EXP-10/runs/rev10__mimic_unmatched_WHITE__densenet121__seed7__pr1.0	python3 src/train.py --config configs/cxr_mimic_attack_unmatched.yaml seed=7 attack.enabled=true attack.target_demographic=WHITE attack.poison_rate=1.0 output.phase=revision/EXP-10/runs output.run_name=rev10__mimic_unmatched_WHITE__densenet121__seed7__pr1.0
rev10__mimic_unmatched_WHITE__densenet121__seed42__pr0.5	results/revision/EXP-10/runs/rev10__mimic_unmatched_WHITE__densenet121__seed42__pr0.5	python3 src/train.py --config configs/cxr_mimic_attack_unmatched.yaml seed=42 attack.enabled=true attack.target_demographic=WHITE attack.poison_rate=0.5 output.phase=revision/EXP-10/runs output.run_name=rev10__mimic_unmatched_WHITE__densenet121__seed42__pr0.5
rev10__mimic_unmatched_WHITE__densenet121__seed123__pr0.5	results/revision/EXP-10/runs/rev10__mimic_unmatched_WHITE__densenet121__seed123__pr0.5	python3 src/train.py --config configs/cxr_mimic_attack_unmatched.yaml seed=123 attack.enabled=true attack.target_demographic=WHITE attack.poison_rate=0.5 output.phase=revision/EXP-10/runs output.run_name=rev10__mimic_unmatched_WHITE__densenet121__seed123__pr0.5
rev10__mimic_unmatched_WHITE__densenet121__seed7__pr0.5	results/revision/EXP-10/runs/rev10__mimic_unmatched_WHITE__densenet121__seed7__pr0.5	python3 src/train.py --config configs/cxr_mimic_attack_unmatched.yaml seed=7 attack.enabled=true attack.target_demographic=WHITE attack.poison_rate=0.5 output.phase=revision/EXP-10/runs output.run_name=rev10__mimic_unmatched_WHITE__densenet121__seed7__pr0.5
rev10__mimic_unmatched_WHITE__densenet121__seed42__pr0.25	results/revision/EXP-10/runs/rev10__mimic_unmatched_WHITE__densenet121__seed42__pr0.25	python3 src/train.py --config configs/cxr_mimic_attack_unmatched.yaml seed=42 attack.enabled=true attack.target_demographic=WHITE attack.poison_rate=0.25 output.phase=revision/EXP-10/runs output.run_name=rev10__mimic_unmatched_WHITE__densenet121__seed42__pr0.25
rev10__mimic_unmatched_WHITE__densenet121__seed123__pr0.25	results/revision/EXP-10/runs/rev10__mimic_unmatched_WHITE__densenet121__seed123__pr0.25	python3 src/train.py --config configs/cxr_mimic_attack_unmatched.yaml seed=123 attack.enabled=true attack.target_demographic=WHITE attack.poison_rate=0.25 output.phase=revision/EXP-10/runs output.run_name=rev10__mimic_unmatched_WHITE__densenet121__seed123__pr0.25
rev10__mimic_unmatched_WHITE__densenet121__seed7__pr0.25	results/revision/EXP-10/runs/rev10__mimic_unmatched_WHITE__densenet121__seed7__pr0.25	python3 src/train.py --config configs/cxr_mimic_attack_unmatched.yaml seed=7 attack.enabled=true attack.target_demographic=WHITE attack.poison_rate=0.25 output.phase=revision/EXP-10/runs output.run_name=rev10__mimic_unmatched_WHITE__densenet121__seed7__pr0.25
